date,BTC-USD
20220510,31022.90625
20220511,28936.35546875
20220512,29047.751953125
20220513,29283.103515625
20220516,29862.91796875
20220517,30425.857421875
20220518,28720.271484375
20220519,30314.333984375
20220520,29200.740234375
20220523,29098.91015625
20220524,29655.5859375
20220525,29562.361328125
20220526,29267.224609375
20220527,28627.57421875
20220530,31726.390625
20220531,31792.310546875
20220601,29799.080078125
20220602,30467.48828125
20220603,29704.390625
20220606,31370.671875
20220607,31155.478515625
20220608,30214.35546875
20220609,30111.998046875
20220610,29083.8046875
20220613,22487.388671875
20220614,22206.79296875
20220615,22572.83984375
20220616,20381.650390625
20220617,20471.482421875
20220620,20599.537109375
20220621,20710.59765625
20220622,19987.029296875
20220623,21085.876953125
20220624,21231.65625
20220627,20735.478515625
20220628,20280.634765625
20220629,20104.0234375
20220630,19784.7265625
20220701,19269.3671875
20220704,20231.26171875
20220705,20190.115234375
20220706,20548.24609375
20220707,21637.587890625
20220708,21731.1171875
20220711,19970.556640625
20220712,19323.9140625
20220713,20212.07421875
20220714,20569.919921875
20220715,20836.328125
20220718,22485.689453125
20220719,23389.43359375
20220720,23231.732421875
20220721,23164.62890625
20220722,22714.978515625
20220725,21361.701171875
20220726,21239.75390625
20220727,22930.548828125
20220728,23843.88671875
20220729,23804.6328125
20220801,23314.19921875
20220802,22978.1171875
20220803,22846.5078125
20220804,22630.95703125
20220805,23289.314453125
20220808,23809.486328125
20220809,23164.318359375
20220810,23947.642578125
20220811,23957.529296875
20220812,24402.818359375
20220815,24136.97265625
20220816,23883.291015625
20220817,23335.998046875
20220818,23212.73828125
20220819,20877.552734375
20220822,21398.908203125
20220823,21528.087890625
20220824,21395.01953125
20220825,21600.904296875
20220826,20260.01953125
20220829,20297.994140625
20220830,19796.80859375
20220831,20049.763671875
20220901,20127.140625
20220902,19969.771484375
20220905,19812.37109375
20220906,18837.66796875
20220907,19290.32421875
20220908,19329.833984375
20220909,21381.15234375
20220912,22370.44921875
20220913,20296.70703125
20220914,20241.08984375
20220915,19701.2109375
20220916,19772.583984375
20220919,19544.12890625
20220920,18890.7890625
20220921,18547.400390625
20220922,19413.55078125
20220923,19297.638671875
20220926,19222.671875
20220927,19110.546875
20220928,19426.720703125
20220929,19573.05078125
20220930,19431.7890625
20221003,19623.580078125
20221004,20336.84375
20221005,20160.716796875
20221006,19955.443359375
20221007,19546.849609375
20221010,19141.484375
20221011,19051.41796875
20221012,19157.4453125
20221013,19382.904296875
20221014,19185.65625
20221017,19550.7578125
20221018,19334.416015625
20221019,19139.53515625
20221020,19053.740234375
20221021,19172.46875
20221024,19345.572265625
20221025,20095.857421875
20221026,20770.44140625
20221027,20285.8359375
20221028,20595.3515625
20221031,20495.7734375
20221101,20485.2734375
20221102,20159.50390625
20221103,20209.98828125
20221104,21147.23046875
20221107,20602.81640625
20221108,18541.271484375
20221109,15880.7802734375
20221110,17586.771484375
20221111,17034.29296875
20221114,16618.19921875
20221115,16884.61328125
20221116,16669.439453125
20221117,16687.517578125
20221118,16697.77734375
20221121,15787.2841796875
20221122,16189.76953125
20221123,16610.70703125
20221124,16604.46484375
20221125,16521.841796875
20221128,16217.322265625
20221129,16444.982421875
20221130,17168.56640625
20221201,16967.1328125
20221202,17088.66015625
20221205,16974.826171875
20221206,17089.50390625
20221207,16848.126953125
20221208,17233.474609375
20221209,17133.15234375
20221212,17206.4375
20221213,17781.318359375
20221214,17815.650390625
20221215,17364.865234375
20221216,16647.484375
20221219,16439.6796875
20221220,16906.3046875
20221221,16817.53515625
20221222,16830.341796875
20221223,16796.953125
20221226,16919.8046875
20221227,16717.173828125
20221228,16552.572265625
20221229,16642.341796875
20221230,16602.5859375
20230102,16688.470703125
20230103,16679.857421875
20230104,16863.23828125
20230105,16836.736328125
20230106,16951.96875
20230109,17196.5546875
20230110,17446.29296875
20230111,17934.896484375
20230112,18869.587890625
