,Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA,MACD,MACD_Signal,OBV,RSI
176,240515,94.61412811279295,86.73445587158203,87.60516535120853,189.2924041748047,159.6699981689453,142.69308471679688,31.072887420654297,192.8192596435547,0.190214,1.15,-0.47,-0.21,-0.4,-0.38,0.02,66293.39,3033.51,5308.15,16742.39,39908.0,1.7576241302333955,1.0295786766066333,2215.0331993103027,56.85484426394114
177,240516,94.34317779541016,87.01620864868164,88.0398758314796,189.41212463378903,162.6199951171875,140.30455017089844,31.828094482421875,191.49159240722656,0.200489,-0.25,-0.22,-0.01,-0.04,0.39,0.02,65282.62,2944.78,5297.1,16698.32,39869.38,1.9934423531986596,1.2223514119250387,2120.6900215148926,60.424496827869746
178,240517,92.46348571777344,87.16521657307943,88.32527001769212,189.4420623779297,164.47000122070312,138.6313934326172,31.629356384277344,192.0761566162109,0.209075,0.11,-0.23,0.41,-0.19,-0.1,0.02,66941.22,3089.25,5303.27,16685.97,40003.59,2.0055359820557044,1.378988325951172,2028.2265357971191,57.69079174632514
179,240520,94.76410675048828,87.42007369995117,88.74067883916284,190.6094207763672,166.3300018310547,140.49334716796875,31.897653579711918,195.9402618408203,0.225269,0.14,0.16,-0.88,0.15,-0.66,0.02,71466.21,3674.27,5308.13,16794.87,39806.77,2.1756818696526494,1.5383270346914675,2122.990650177002,70.83334046341906
180,240521,95.37001037597656,87.7544179280599,89.16837764798954,191.91647338867188,164.66000366210938,139.01986694335938,31.5399227142334,199.00184631347656,0.2282,0.15,-0.43,0.19,0.41,-0.31,0.02,70191.19,3792.14,5321.41,16832.62,39872.99,2.3325265405961773,1.6971669358724095,2218.3606605529785,68.94460909551718
181,240522,94.93408203125,88.01807378133138,89.54035857594184,190.46974182128903,165.52000427246094,138.32835388183594,31.22194099426269,201.06268310546875,0.229989,-0.35,-0.4,-0.38,-0.44,-0.05,0.02,69145.91,3737.52,5307.01,16801.54,39671.04,2.39405413231907,1.8365443751617416,2123.4265785217285,65.89277596164197
182,240523,103.78160095214844,88.45743357340494,90.45914840666484,186.45880126953125,160.42999267578125,138.43267822265625,29.8903865814209,199.9034576416016,0.230637,-0.85,-0.67,-0.64,1.3,-0.64,0.02,67903.82,3777.04,5267.84,16736.03,39065.26,3.1207618274178657,2.0933878656129665,2227.208179473877,76.49954037237299
183,240524,106.4511489868164,89.06676483154297,91.49089037957786,189.5518035888672,166.36000061035156,139.87831115722656,30.526351928710938,208.42433166503903,0.230144,0.72,0.13,0.23,0.34,-0.34,0.02,68567.61,3728.04,5304.72,16920.79,39069.59,3.867510869620716,2.4482124664145166,2333.6593284606934,76.35145474444266
184,240528,113.88190460205078,89.99660898844401,92.93547194231805,189.56179809570312,171.61000061035156,140.33633422851562,30.86421012878418,211.11929321289065,0.217168,-0.04,0.1,-0.83,0.15,-1.07,0.02,68350.32,3840.31,5306.04,17019.88,38852.86,5.00126329228128,2.9588226315878696,2447.541233062744,77.5095716342681
185,240529,114.80574798583984,90.91012242635092,94.346457493513,189.86111450195312,165.13999938964844,138.17236328125,29.94007110595703,206.34364318847656,0.211374,-0.77,-0.38,-0.66,0.44,-0.04,0.02,67573.57,3763.6,5266.95,16920.58,38441.54,5.906233314528066,3.548304768175909,2562.346981048584,77.92818852268512
