Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA
231116,49.46503829956055,44.786149978637695,45.43636428624841,188.78515625,119.83000183105469,94.49888610839844,42.77709197998047,126.06953430175781,0.0573373,-0.11,-1.5,-0.3,-0.45,-0.37,0.021,36150.03,1960.91,4508.24,14113.67,34945.47
231117,49.2830924987793,44.90398114522298,45.68454029996009,188.76522827148438,120.62000274658203,96.28929901123047,43.23101806640625,126.82379913330078,0.0678271,0.25,1.22,0.62,0.03,0.36,0.021,36626.6,1960.65,4514.02,14125.48,34947.28
231120,50.39375305175781,45.07512944539388,45.98836047749543,190.51666259765625,121.52999877929688,98.06001281738281,44.14872360229492,126.86296844482422,0.0908393,0.73,-0.11,-0.28,-0.3,-0.31,0.021,37476.08,2022.48,4547.38,14284.53,35151.04
231121,49.92889404296875,45.21328773498535,46.24258844946146,189.71060180664062,119.16000366210938,96.63102722167969,43.063262939453125,124.42386627197266,0.0965855,-0.32,-0.96,-0.62,0.42,-0.03,0.021,35734.18,1937.09,4538.19,14199.98,35088.29
231122,48.701263427734375,45.27693506876628,46.4012126416081,190.37733459472656,122.51000213623047,95.72499084472656,43.09286117553711,124.89405822753906,0.101484,0.42,0.19,-0.04,-0.38,0.01,0.021,37443.86,2064.29,4556.62,14265.86,35273.03
231124,47.76155471801758,45.30462697347005,46.48897664653774,189.0438690185547,122.30999755859375,96.40156555175781,43.3790283203125,125.13895416259766,0.108745,0.11,0.63,0.18,-0.51,0.23,0.021,37745.94,2082.1,4559.34,14250.85,35390.15
231127,48.22740936279297,45.39729906717936,46.601133595973565,188.86473083496094,122.6500015258789,93.58201599121094,43.4974479675293,125.57975006103516,0.113452,-0.23,-0.14,-0.08,0.13,-0.25,0.021,37244.39,2027.63,4550.43,14241.02,35333.47
231128,47.80653762817383,45.45481491088867,46.678901598051,189.4717559814453,122.01000213623047,93.19892120361328,43.64546203613281,124.00265502929688,0.113566,0.06,-0.3,0.05,-0.16,0.03,0.021,37840.46,2048.79,4554.89,14281.76,35416.98
231129,48.12544250488281,45.594839350382486,46.7722268178466,188.44679260253906,123.8499984741211,92.65528869628906,44.34607696533203,126.09254455566406,0.112974,0.01,0.58,0.69,-0.76,-0.06,0.021,37864.76,2028.64,4550.58,14258.49,35430.42
231130,46.75585174560547,45.747259775797524,46.771170361572985,189.02395629882812,121.16000366210938,91.16820526123047,44.1092529296875,127.21634674072266,0.111678,0.35,-0.4,0.01,-0.11,0.18,0.021,37743.0,2054.06,4567.8,14226.22,35950.89
231201,46.7508544921875,45.9026793162028,46.76985966032231,190.30767822265625,121.38999938964844,91.58872985839844,43.16194152832031,127.82752227783203,0.109675,0.82,2.23,1.07,-0.37,0.57,0.021,38714.0,2088.87,4594.63,14305.03,36245.5
231204,45.49623107910156,46.04007097880046,46.68769007443711,188.50648498535156,118.56999969482422,90.99488067626953,41.79030990600586,128.10354614257812,0.0981634,-0.44,1.51,0.5,-0.44,0.77,0.021,41856.31,2239.11,4569.78,14185.49,36204.44
231205,46.55601119995117,46.159871164957686,46.679194663179956,192.47705078125,118.37999725341797,89.92634582519531,41.365989685058594,128.89219665527344,0.0916471,-0.21,-1.05,-0.85,0.18,-0.41,0.021,44060.06,2293.56,4567.18,14229.91,36124.56
231206,45.49323272705078,46.22131932576497,46.60268123599081,191.38241577148438,116.81999969482422,88.99272918701172,40.72458267211914,128.11341857910156,0.0836827,-0.39,0.36,0.32,-0.22,0.27,0.021,43778.51,2233.53,4549.34,14146.71,36054.43
231207,46.586002349853516,46.38197402954101,46.60160517882066,193.32290649414062,128.3699951171875,90.82647705078125,41.59295654296875,131.0510711669922,0.074267,0.81,0.09,0.49,0.08,-0.19,0.021,43305.91,2358.5,4585.59,14339.99,36117.38
231208,47.49580764770508,46.62137413024902,46.65929566068418,194.75588989257812,128.9199981689453,92.99702453613281,42.13568878173828,131.0806427001953,0.0633964,0.45,0.16,0.53,-0.13,-0.08,0.021,44223.94,2359.06,4604.37,14403.97,36247.87
231211,46.61699676513672,46.82568232218424,46.656566699681115,192.23822021484375,134.41000366210938,101.36212921142578,43.95136260986328,134.1661834716797,0.0225704,0.35,-0.44,-0.12,0.02,0.64,0.021,41205.53,2223.13,4622.44,14432.49,36404.93
231212,47.64677429199219,47.042289861043294,46.720451060475376,193.7607879638672,137.61000061035156,105.60081481933594,43.45797348022461,134.73793029785156,0.00695366,0.34,-0.64,-0.89,-0.37,-0.22,0.021,41452.65,2201.29,4643.7,14533.4,36577.94
231213,48.07768630981445,47.285957209269206,46.80801462494887,196.9949188232422,138.19000244140625,107.31539154052734,43.98097229003906,136.8278045654297,-0.00958352,1.55,1.92,1.35,-0.99,0.17,0.021,42927.11,2262.0,4707.09,14733.96,37090.24
231214,48.339622497558594,47.48687121073405,46.90682803608498,197.14419555664062,138.0,108.96990966796875,44.582908630371094,139.4894256591797,-0.0270476,0.51,1.84,2.03,0.03,0.38,0.021,43031.34,2315.38,4719.55,14761.56,37248.35
231215,48.87950897216797,47.66642684936524,47.03409777389679,196.60682678222656,139.14999389648438,111.2596206665039,45.54995346069336,141.09628295898438,-0.0454455,-0.06,-0.59,-0.57,0.14,-0.35,0.021,41939.81,2221.97,4719.19,14813.92,37305.16
231218,50.066253662109375,47.835588963826496,47.229720734426635,194.9350128173828,138.89999389648438,112.95942687988281,45.08616638183594,139.63731384277344,-0.10615,0.42,-0.51,-0.36,0.35,-0.24,0.021,42638.28,2216.31,4740.56,14905.19,37306.02
231219,49.59335708618164,47.964128748575845,47.3822134022818,195.97988891601562,140.14999389648438,112.7447509765625,46.0433464050293,141.19483947753906,-0.128027,0.72,1.51,0.68,-0.38,0.05,0.021,42252.2,2176.64,4768.37,15003.22,37557.92
231220,48.10067367553711,48.03611437479655,47.4285656779757,193.88018798828125,135.47000122070312,109.85582733154297,45.155242919921875,138.4445037841797,-0.150711,-1.56,-0.35,0.15,0.76,0.09,0.021,43647.01,2199.42,4698.35,14777.94,37082.0
231221,48.9794921875,48.116766993204756,47.52862545278372,193.73089599609375,139.91000366210938,111.5288314819336,46.45779800415039,140.4160919189453,-0.174212,1.09,0.74,-0.02,-0.57,-0.17,0.021,43876.98,2241.29,4746.75,14963.87,37404.35
231222,48.81952667236328,48.179557927449544,47.61190940243402,192.6561737060547,139.60000610351562,111.00347900390625,47.365638732910156,141.451171875,-0.198538,0.2,0.61,0.1,-0.65,0.2,0.021,44015.6,2327.03,4754.63,14992.97,37385.97
231226,49.26842498779297,48.21115938822428,47.718781375682994,192.10887145996094,143.41000366210938,111.98394012451172,49.83259963989258,143.3931884765625,-0.307171,0.48,0.83,0.43,-0.33,-0.16,0.021,42520.26,2230.14,4774.75,15074.57,37545.33
231227,49.406394958496094,48.23786290486654,47.82765967134836,192.20835876464844,146.07000732421875,111.41802215576172,50.08916091918945,143.6494903564453,-0.338652,0.16,0.17,0.1,-0.32,-0.14,0.021,43444.45,2380.88,4781.58,15099.18,37656.52
231228,49.511375427246094,48.23354276021322,47.936286494309506,192.6362762451172,148.75999450683594,111.0460205078125,49.724056243896484,143.78749084472656,-0.371981,-0.01,-0.38,0.02,-0.32,0.15,0.021,42613.04,2347.4,4783.35,15095.14,37710.1
231229,49.511375427246094,48.254814783732094,48.03790513514413,191.5913848876953,147.41000366210938,110.43658447265625,49.58590316772461,142.57498168945312,-0.407173,-0.43,-1.14,-0.36,0.69,-0.06,0.021,42056.3,2297.44,4769.83,15011.35,37689.54
240102,48.15766525268555,48.211235682169594,48.04563159434036,184.73497009277344,138.5800018310547,107.3824462890625,47.16828155517578,138.23748779296875,-0.560849,-0.7,-0.26,0.79,0.66,0.64,0.022,45030.04,2357.69,4742.83,14765.94,37715.04
240103,47.55879211425781,48.15375900268555,48.014222595625355,183.35174560546875,135.32000732421875,104.7309799194336,46.42819595336914,135.64486694335938,-0.59547,-1.01,-1.93,-0.14,0.35,-0.18,0.022,42836.3,2209.48,4704.81,14592.21,37430.19
240104,47.98770523071289,48.073557408650714,48.01251179788907,181.02316284179688,136.00999450683594,103.78417205810547,46.25057601928711,134.2351837158203,-0.627306,-0.33,0.24,0.09,-0.43,0.24,0.022,44230.11,2270.25,4688.68,14510.3,37440.34
240105,49.086463928222656,48.04547640482585,48.08179903210414,180.29672241210938,138.5800018310547,103.81088256835938,46.27030944824219,134.78720092773438,-0.656368,0.15,-0.59,0.65,0.11,-0.15,0.022,44174.5,2269.69,4697.24,14524.07,37466.11
240108,52.241783142089844,48.16349385579427,48.35018534982563,184.65536499023438,146.17999267578125,106.34065246582031,47.809696197509766,137.0545196533203,-0.727225,1.49,0.55,-1.31,-0.98,-0.49,0.022,47000.31,2332.28,4763.54,14843.77,37683.01
240109,53.12860107421875,48.34239540100098,48.65847023527035,184.23741149902344,149.25999450683594,107.09652709960938,47.41497802734375,137.90232849121094,-0.745697,-0.21,-0.75,-0.9,-0.3,-0.18,0.022,46103.0,2344.77,4756.5,14857.71,37525.16
240110,54.33833694458008,48.54609298706055,49.024913248774205,185.28231811523438,148.5399932861328,106.90656280517578,46.84264373779297,137.33055114746094,-0.761641,0.5,-0.29,-0.44,0.24,-0.18,0.022,46590.34,2580.54,4783.45,14969.65,37695.73
240111,54.810237884521484,48.77954966227214,49.39815999946758,184.68521118164062,148.02000427246094,108.82691192626953,47.010398864746094,137.0545196533203,-0.775064,-0.14,-0.66,-0.51,0.45,-0.13,0.022,46324.98,2621.0,4780.24,14970.18,37711.02
240112,54.69825744628906,48.998643493652345,49.74010177023026,185.01361083984375,146.55999755859375,109.58869934082031,46.49726486206055,138.20791625976562,-0.78597,-0.01,-0.21,-0.5,0.11,-0.28,0.022,42797.41,2524.19,4783.83,14972.76,37592.98
240116,56.369903564453125,49.319111887613936,50.16783091824464,182.7347869873047,158.74000549316406,110.3089599609375,46.43806457519531,139.11483764648438,-0.80035,-0.47,-0.87,-0.64,0.13,-0.27,0.022,43152.59,2587.34,4765.98,14944.35,37361.12
