NVDA,AMD,RSI,RF,CBBTCUSD,DJIA,MACD_Signal,ADS_Index
-1.0614229824009294,-1.38056905876531,-0.1698804610995312,-0.2865635382699905,-1.650174471427811,-1.665056502808982,-0.8318172939346055,-0.9720820062729336
-1.0568568187959348,-1.3635993723603104,-0.2648582099234499,-0.2865635382699905,-1.6573134875172957,-1.7402752294313932,-0.7862107050769459,-1.0074266715207838
-1.105607108999731,-1.4944066187526446,-0.6233560333070408,-0.2865635382699905,-1.6496877966121195,-1.7233247134164995,-0.7497990378314855,-1.0382355206814278
-1.0847796914956076,-1.4459725470994702,-0.1082499140849361,-0.2865635382699905,-1.5372363780606968,-1.5872659737567272,-0.7173421139902352,-1.0998903978231025
-1.1556383419807024,-1.4926388475582018,-0.6037849356161757,-0.2865635382699905,-1.5457011634756854,-1.5815898239494408,-0.7015713923966439,-1.1053391604998102
-1.2128639403012036,-1.597638091021351,-0.839988757359341,-0.2865635382699905,-1.5523360515836746,-1.725580452584765,-0.7072266631873219,-1.1026333685716496
-1.2159846869732531,-1.5895067211405356,-0.6252007783407809,-0.2865635382699905,-1.5237960978403244,-1.8342152922602903,-0.7266128163042045,-1.09177302203862
-1.2394401808505129,-1.610365288394097,-0.5239707581605353,-0.2865635382699905,-1.4598805908388872,-1.958428154061379,-0.7577244014650626,-1.0727539899206793
-1.1872732910725203,-1.674001005533814,-0.3393662577081234,-0.2865635382699905,-1.2302909074420327,-2.0410678728803453,-0.78529910340284,-0.9680543007310152
-1.1646723858537071,-1.6153147240697192,-0.3261086637352807,-0.2865635382699905,-1.1757121728701816,-1.952323370515786,-0.8051009424904304,-0.919102187221545
-1.2265626818389856,-1.813646568450332,-0.6212162018936761,-0.2865635382699905,-1.1374501344983394,-1.9979793580961285,-0.8297191886740601,-0.8633256946810499
-1.2742944106741627,-1.8981408528436112,-0.9539725176625404,-0.2865635382699905,-1.1609387392926187,-2.106925931399512,-0.864242106431221,-0.800708299189358
-1.2685785576769706,-1.8005657628938947,-1.0378170223703178,-0.2865635382699905,-1.1767029756673677,-2.26569792955587,-0.9018469649362512,-0.7312210838861685
-1.2468642082734036,-1.8094040794180788,-0.9902809281881678,-0.2865635382699905,-1.1377468383170095,-2.044293450001955,-0.9351922981182904,-0.4817429371297194
-1.259380415732394,-1.7273845128626109,-1.3005837575485582,-0.2865635382699905,-1.1255034425054335,-1.9906449585739745,-0.9658530446518668,-0.3854373993874175
-1.2086260982007524,-1.3901143219328629,-0.8044814640970733,-0.2865635382699905,-1.071697346158217,-1.8946526493616656,-0.9837430583267112,-0.2825801272969283
-1.169829753817398,-1.3975384754462965,-0.6878358695804008,-0.2865635382699905,-1.1075555465783482,-1.6502448258519071,-0.9852754527322296,-0.1838868830897762
-1.1205867933146882,-1.241277104032484,-0.5473753694099199,-0.2865635382699905,-1.1209367545452296,-1.5540230460524245,-0.9672159709328298,-0.0893163569655315
-1.0960803948278126,-1.2589537370808523,-0.6000855229110256,-0.2865635382699905,-1.098915558229711,-1.5390684911825796,-0.9329626361958578,0.1723192640574467
-1.0893786997871964,-1.1988532926060058,-0.4854735873782842,-0.2865635382699905,-1.0749516903050742,-1.5145021494537163,-0.8887083315955938,0.2553498974315897
-1.069044328666184,-1.1939038569303844,-0.4705114475348798,-0.2865635382699905,-1.064162277460101,-1.531963562247603,-0.8365585443188707,0.3367277256905313
-1.0566924700015643,-1.1974391295952556,-0.5738286266600306,-0.2865635382699905,-0.99115299979912,-1.6273583820065114,-0.7797717129952532,0.4164849704786064
-1.0111945559389932,-1.0171375264467015,-0.376032951114189,-0.2865635382699905,-0.9484256360838604,-1.4580004294040736,-0.7149244684004876,0.4946530272441421
-1.0018321905614451,-1.0807732435864186,-0.0629079405075474,-0.2865635382699905,-1.0045013152612174,-1.4342870255181028,-0.6468062114829719,0.715023462421652
-0.9677990779026512,-0.9715317808150304,-0.0066641871349946,-0.2865635382699905,-1.0661009214155717,-1.2222085769976714,-0.574400172336908,0.7773339260961495
-0.9930281848559992,-1.0379958239762492,0.2841525070876736,-0.2865635382699905,-0.9101286913804104,-1.151414736037386,-0.5078970780204826,0.8332975520325921
-0.9735806202730316,-0.9732992822854584,0.7837862072024013,-0.2865635382699905,-1.026010328287947,-1.171218480673942,-0.4456572071073252,0.8829358213272035
-0.979559356124377,-0.9453701697021536,0.7606631633800733,-0.2865635382699905,-0.9940193466446398,-1.1704348169705725,-0.3910496888144081,0.9262689757821942
-0.9430626412482164,-0.9131988378106116,1.0684241480451375,-0.2865635382699905,-0.9369958263089984,-1.0822142002861634,-0.3384291212847072,1.0213319147275637
-0.958338053103921,-0.9969859058365076,0.7730418700952871,-0.2865635382699905,-1.0539253244403886,-1.1093826518809151,-0.2933918166649056,1.0450693522506116
-0.9986785992028012,-0.8785525183572428,0.3658115240438276,-0.2865635382699905,-0.9391586763174912,-1.029396998532479,-0.263565401302588,1.0653049579912142
-1.0295579951415526,-0.8856233334109992,0.6101016785359576,-0.2865635382699905,-0.9188807827555584,-0.9786883284005682,-0.2513348772427187,1.095300004083388
-1.0142496132378545,-0.8736030826816215,1.0961432105470346,-0.2865635382699905,-0.952548610867275,-1.0032286923271103,-0.2491652684065017,1.1147445271457574
-1.0280798588834126,-0.8962291514056111,0.944725908973309,-0.2865635382699905,-0.9125358857101604,-0.9670719211290584,-0.2569436872136755,1.1152154588706586
-1.0176003980774628,-0.8311792712551437,0.9045871494250088,-0.2865635382699905,-0.9109046859830848,-0.9612528934090054,-0.2697783486875298,1.1127699186852067
-1.0626056418411205,-0.9262793736430346,0.6153954475160648,-0.2865635382699905,-0.9190781377842664,-0.7359084471696357,-0.2940817079280317,1.1074161685494874
-1.0627699906354908,-0.9181482734862336,0.3924932208584346,-0.2865635382699905,-0.8538972762620323,-0.6083531081364911,-0.3253182821431262,1.099141815523372
-1.1039974686338148,-1.01784447309007,-0.1532660343099382,-0.2865635382699905,-0.6429616707317214,-0.6261305841919563,-0.3674433589484353,1.0515876256604508
-1.0691726987389798,-1.0245616799601351,-0.2404493091401779,-0.2865635382699905,-0.4950293086517793,-0.6607156983495482,-0.4088737107373034,1.0246689204062935
-1.1040958773321985,-1.0797126887593589,-0.6529121183079698,-0.2865635382699905,-0.5139290733907956,-0.6910794196298649,-0.4545762931604508,0.991768142951878
-1.0681871074183544,-0.6713826271764612,-0.4618895740473966,-0.2865635382699905,-0.5456535586177862,-0.6638243753607088,-0.4948601359795335,0.9528720741610665
-1.038290419488047,-0.6519382229336502,-0.4038692794914862,-0.2865635382699905,-0.4840284439903333,-0.6073269849447839,-0.5249023136740804,0.907965842505704
-1.067168546049735,-0.457848597861276,-0.6625401971985259,-0.2865635382699905,-0.6866469447393831,-0.5393257577340804,-0.5525006693196108,0.739314451270461
-1.0333294928369254,-0.3447182542413252,-0.7369669086129689,-0.2865635382699905,-0.670058381918194,-0.4644187647395298,-0.5715612087944761,0.6748020099938464
-1.0191696720728316,-0.3242132951714545,-0.7059558005020562,-0.2865635382699905,-0.5710814786431441,-0.2426116292496305,-0.5821346527088231,0.6064872494464592
-1.0105621076799554,-0.3309305020415192,-0.8768166883550652,-0.2865635382699905,-0.5640847729825238,-0.1741557904982965,-0.5856516174452061,0.5343434834972214
-0.9928213385472952,-0.2902744618094842,-0.5969234541995618,-0.2865635382699905,-0.637356519406174,-0.1495591413333884,-0.5817619318726631,0.4583421257642356
-0.9538244159251976,-0.2991127783336684,-0.4725270810374923,-0.2865635382699905,-0.5904699320246755,-0.1491867928334473,-0.5668992810153463,0.2075730477443512
-0.9693639642490476,-0.2549211957127477,-0.5345339224548916,-0.2865635382699905,-0.6163865406925482,-0.0401233194196147,-0.549043330548826,0.1171995973437876
-1.0184142442811643,-0.4203742221104201,-1.058845240485808,-0.2865635382699905,-0.522756347634023,-0.2461792474351396,-0.5392956074369313,0.0234924460485284
-0.9895358669966776,-0.2634056343292252,-0.7844112451682975,-0.2865635382699905,-0.5073190224802967,-0.1066135044619416,-0.5304854808790874,-0.0735897159418561
-0.9947923958271472,-0.2743650605075288,-0.5735818959482711,-0.2865635382699905,-0.4980138000042803,-0.1145713712398136,-0.5241018456963938,-0.1740799364677102
-0.9800413707043572,-0.1396692029906475,-0.2736377108778839,-0.2865635382699905,-0.5983923267485209,-0.0455743282734447,-0.5174412155298838,-0.6228406914781973
-0.9755076757017592,-0.0456293857058012,-0.3388770844102752,-0.2865635382699905,-0.5363537063466328,0.002566869062337,-0.510638414075829,-0.7528880742116681
-0.972057855356771,0.0494704469580746,-0.2153229062110956,-0.2865635382699905,-0.5921642316588888,0.0257650465355935,-0.5039918572759553,-0.8905695080645906
-0.972057855356771,0.0017438613962984,-0.2802426480911095,-0.2865635382699905,-0.6295368298503291,0.0168633196067006,-0.498303159349144,-1.0359469577376097
