,Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA,MACD,MACD_Signal,OBV,RSI
143,240328,90.33462524414062,84.74414037068685,84.63091032632417,170.8617401123047,180.4900054931641,131.6883544921875,43.714012145996094,166.8692626953125,-0.329603,0.1,0.47,0.46,-0.06,0.07,0.021,70770.78,3560.5,5254.35,16379.46,39807.37,4.372436331760554,5.081223233585948,1923.8264389038086,64.38137890712653
144,240401,90.34162139892578,85.33428090413412,84.99934329875009,169.4169921875,183.33999633789065,134.15736389160156,44.06040191650391,169.25450134277344,-0.376056,-0.27,-0.91,-0.27,0.34,-0.31,0.021,69702.13,3506.34,5243.77,16396.83,39566.85,4.046178723091202,4.874214331487,2014.1680603027344,63.17859824839131
145,240402,89.43083953857422,85.89556172688802,85.28524628196456,168.2312774658203,178.6999969482422,133.0147705078125,43.48638534545898,168.58425903320312,-0.386634,-0.85,-1.03,0.04,0.26,0.02,0.021,65478.7,3282.75,5205.81,16240.45,39170.24,3.671798525466471,4.6337311702828945,1924.7372207641602,58.87240461341681
146,240403,88.94295501708984,86.54591649373373,85.52122749068232,169.03834533691406,180.7700042724609,135.44403076171875,39.91366195678711,171.41305541992188,-0.396195,0.16,0.33,-0.04,0.1,-0.19,0.021,65982.23,3309.6,5211.49,16277.46,39127.14,3.2977172860071136,4.366528393427739,1835.7942657470703,54.912444637359634
147,240404,85.88467407226562,87.16030960083008,85.5446756572361,168.21136474609375,165.8300018310547,130.90243530273438,39.31985092163086,167.32264709472656,-0.404743,-1.23,0.2,0.18,0.03,0.1,0.021,68415.92,3324.97,5147.21,16049.08,38596.98,2.7230874385699906,4.03784020245619,1749.9095916748047,49.926798936028405
148,240405,87.9871826171875,87.4760243733724,85.70225675142652,168.96859741210938,170.4199981689453,133.08131408691406,38.31038284301758,169.06723022460938,-0.412281,1.05,-0.5,-0.69,-0.29,-0.59,0.021,67878.68,3319.09,5204.34,16248.52,38904.04,2.409568012525341,3.71218576447002,1837.8967742919922,49.12780788535541
149,240408,87.11238861083984,87.75328216552734,85.79323300042093,167.84268188476562,169.89999389648438,132.75047302246094,37.58791732788086,171.12721252441406,-0.428431,0.01,0.54,0.14,-0.24,0.1,0.021,71607.88,3699.13,5202.39,16253.96,38892.8,2.0666895327814245,3.383086518132301,1750.7843856811523,42.43220676342533
150,240409,85.33380126953125,87.96208928426107,85.76359224358933,169.0582733154297,170.77999877929688,132.54977416992188,37.934303283691406,173.04922485351562,-0.431088,0.14,0.31,-0.33,-0.17,0.05,0.021,69100.81,3502.0,5209.91,16306.64,38883.67,1.6326189184869833,3.0329929982032375,1665.450584411621,46.72726466484346
151,240410,87.0184097290039,88.24008000691732,85.84454821039027,167.1750946044922,167.13999938964844,131.3863067626953,36.81597137451172,168.40684509277344,-0.432312,-1.01,-1.56,-1.04,0.37,-0.45,0.021,70554.77,3540.47,5160.64,16170.36,38461.51,1.4083144804821899,2.708057294659028,1752.468994140625,51.90827005280247
152,240411,90.59456634521484,88.67186559041342,86.15100050106318,174.40892028808594,170.5,137.35665893554688,37.24153137207031,172.6155548095703,-0.432103,0.72,0.05,-0.62,0.14,-0.54,0.021,70001.36,3502.38,5199.06,16442.2,38459.08,1.501805059563722,2.466806847639967,1843.0635528564453,47.87953282126024
153,240412,88.16514587402344,88.97438430786133,86.28094487161582,175.91348266601562,163.27999877929688,133.54234313964844,35.321556091308594,168.83067321777344,-0.430461,-1.53,-0.38,0.13,0.67,-0.22,0.021,67107.27,3232.53,5123.41,16175.09,37983.24,1.3641387616686984,2.2462732304457136,1754.8984069824219,45.77655304167097
154,240415,85.98065185546875,89.0985501607259,86.2615711286386,172.06739807128906,160.32000732421875,130.22581481933594,35.935157775878906,167.4014892578125,-0.417106,-1.29,-0.24,0.75,0.84,0.42,0.021,63359.28,3096.84,5061.82,15885.02,37735.11,1.0664731790836868,2.010313220173308,1668.9177551269531,46.88910810909216
155,240416,87.39432525634766,89.17126668294271,86.33465204010369,168.7693328857422,163.4600067138672,132.05099487304688,35.88566970825195,166.15957641601562,-0.410074,-0.23,-0.28,-0.82,0.04,-0.26,0.021,63840.0,3084.8,5051.41,15865.25,37798.97,0.9338775303583304,1.7950260822103126,1756.3120803833008,49.35150346401148
156,240417,84.01512145996094,89.1069819132487,86.18500490590094,167.39430236816406,154.02000427246094,127.4378662109375,35.31166076660156,161.96075439453125,-0.401776,-0.64,-0.37,0.55,-0.32,0.54,0.021,61267.8,2985.84,5022.21,15683.37,37753.31,0.5497834567978401,1.545977557127818,1672.2969589233398,43.73902953828234
157,240418,84.65097045898438,88.97271347045898,86.08603444936475,166.437744140625,155.0800018310547,125.08908081054688,34.67826843261719,159.12210083007812,-0.39221,-0.27,-0.1,0.86,-0.03,0.29,0.021,63447.36,3062.23,5011.12,15601.5,37775.38,0.2933121015080502,1.2954444660038644,1756.9479217529297,43.24538406462277
158,240419,76.18197631835938,88.423876953125,85.44706295704182,164.40512084960938,146.63999938964844,119.6959991455078,33.84693908691406,155.36680603027344,-0.381372,-0.82,1.25,1.9,-0.1,1.3,0.021,63836.5,3057.27,4967.23,15282.01,37986.4,-0.5865582501306363,0.9190439227769642,1680.7659454345703,33.322353278417495
